"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","6","0","Login","0"
"0","","0","Cart","1","0","Cart management","0"
"0","","0","Inventory","2","0","Sorting","0"
"0","","0","Cart","1","0","Add to cart","0"
"0","","0","Checkout","1","0","Order placement","0"
"0","","0","Inventory","1","0","Product listing","0"
